ID,Player,Username,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
523,Guerschon Yabusele,yabusgu01,PF,23,BOS,41,251,12.4,0.542,0.364,0.286,9.8,12.8,11.3,8.2,1.5,2.5,14.8,17.5,0.2,0.3,0.5,0.09,-2.1,-0.1,-2.1,0
524,Nick Young,youngni01,SG,33,DEN,4,37,2.3,0.5,0.889,0,0,2.9,1.5,6.8,0,2.4,18.2,12.7,0,0,0,-0.021,-4.4,-2.6,-7,0
525,Thaddeus Young,youngth01,PF,30,IND,81,2489,16.2,0.569,0.174,0.161,8.7,14.4,11.7,12,2.4,1.3,12,18,3,3.9,6.9,0.133,0.8,2.1,2.9,3.1
526,Trae Young,youngtr01,PG,20,ATL,81,2503,17,0.539,0.384,0.33,2.6,10.2,6.3,40.5,1.3,0.5,17.6,28.4,2.5,0.7,3.3,0.062,1.8,-2.8,-1.1,0.6
527,Cody Zeller,zelleco01,C,26,CHO,49,1243,17.2,0.611,0.064,0.409,9.4,19.7,14.5,12.1,1.5,2.9,13.2,16.3,2.6,1.2,3.9,0.15,0.2,1.7,2,1.2
528,Tyler Zeller,zellety01,C,29,TOT,6,93,17.3,0.607,0.033,0.6,12.9,15.7,14.2,6.7,0.5,3.1,9.5,20.1,0.2,0.1,0.3,0.167,-1,-1.2,-2.2,0
528,Tyler Zeller,zellety01,C,29,ATL,2,11,1.5,0,0.5,0,18.7,39.1,28.7,10.6,0,0,0,7.4,0,0,0,-0.013,-6.8,-0.4,-7.2,0
528,Tyler Zeller,zellety01,C,29,MEM,4,82,19.4,0.64,0,0.643,12.1,12.5,12.3,6.2,0.6,3.5,10,21.8,0.2,0.1,0.3,0.191,-0.3,-1.3,-1.5,0
529,Ante Žižić,zizican01,C,22,CLE,59,1082,16.2,0.59,0,0.399,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2,0.087,-1.7,-1.4,-3.1,-0.3
530,Ivica Zubac,zubaciv01,C,21,TOT,59,1040,18.9,0.604,0,0.332,11.9,24.2,18.2,9.1,0.6,4,13.9,20.3,1.9,1.3,3.2,0.148,-1.2,1,-0.3,0.5
530,Ivica Zubac,zubaciv01,C,21,LAL,33,516,19.5,0.633,0,0.342,11,21.2,16.2,7.3,0.4,4.3,12.9,20.5,1.1,0.6,1.8,0.165,-1.3,0.4,-0.9,0.1
530,Ivica Zubac,zubaciv01,C,21,LAC,26,524,18.3,0.574,0,0.323,12.7,27.2,20.2,10.9,0.9,3.6,14.8,20.1,0.7,0.7,1.4,0.132,-1.2,1.5,0.3,0.3
